时间,GPS车速
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,4.5
10,6.9
11,9.0
12,11.0
13,12.8
14,9.6
15,2.9
16,2.9
17,3.7
18,5.4
19,6.8
20,6.4
21,4.4
22,4.4
23,5.4
24,7.1
25,9.8
26,12.2
27,14.4
28,15.0
29,16.3
30,17.4
31,17.4
32,17.4
33,17.0
34,14.6
35,11.7
36,10.7
37,10.7
38,12.4
39,13.1
40,13.8
41,15.1
42,15.1
43,13.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,11.1
170,12.2
171,12.3
172,12.7
173,12.7
174,14.5
175,17.7
176,19.5
177,20.4
178,20.5
179,20.8
180,20.9
181,21.7
182,21.8
183,21.7
184,21.9
185,23.1
186,23.1
187,23.0
188,23.1
189,23.2
190,23.2
191,23.1
192,22.8
193,22.7
194,22.7
195,23.6
196,25.1
197,27.3
198,29.3
199,30.5
200,31.6
201,33.4
202,35.5
203,36.1
204,36.8
205,38.3
206,38.4
207,38.7
208,38.7
209,38.0
210,38.0
211,37.2
212,35.6
213,34.3
214,34.3
215,35.6
216,36.8
217,38.4
218,39.6
219,40.7
220,39.7
221,38.9
222,37.7
223,35.7
224,33.9
225,32.2
226,32.4
227,32.5
228,33.1
229,34.0
230,35.2
231,37.3
232,38.9
233,39.6
234,40.0
235,41.2
236,43.2
237,43.9
238,45.3
239,45.8
240,46.1
241,46.7
242,47.3
243,47.4
244,47.7
245,48.6
246,48.6
247,48.5
