时间,GPS车速
322797,0.0
322798,0.0
322799,0.0
322800,46.5
322801,8.7
322802,10.6
322803,12.0
322804,13.1
322805,13.7
323102,62.7
323103,62.1
323104,62.1
323105,59.1
323106,59.0
323107,58.9
323108,57.0
323109,55.2
323110,54.8
323111,53.0
323112,47.0
323113,40.8
323114,35.6
323115,26.5
323116,25.8
323117,24.9
323118,19.3
323119,17.5
323120,15.9
323121,11.5
323122,12.5
323123,15.9
323124,19.4
323125,22.2
323126,23.7
323127,24.6
323128,25.2
323129,27.6
323130,30.9
323131,34.1
323132,36.1
323133,36.4
323134,35.8
323135,34.3
323136,31.6
323137,34.2
323138,34.2
323139,34.7
323140,36.4
323141,38.0
323142,37.2
323143,36.1
323144,34.8
323145,33.9
323146,31.5
323147,29.6
323148,26.4
323149,24.5
323150,24.4
323151,25.7
323152,27.6
323153,29.6
323154,33.3
323155,36.2
323156,39.3
323157,41.8
323158,44.4
323159,44.9
323160,45.0
323161,46.2
323162,46.9
323163,47.8
323164,47.9
323165,48.2
323166,49.1
323167,49.7
323168,49.2
323169,51.0
323170,50.6
323171,50.5
323172,49.5
323173,48.8
323174,48.7
323175,48.1
323176,47.5
323177,47.4
323178,45.5
323179,43.0
323180,40.0
323181,36.5
323182,32.7
323183,30.1
323184,27.7
323185,25.0
323186,22.2
323187,17.7
323188,12.9
323189,7.8
323190,0.3
323191,0.0
