时间,GPS车速
346503,8.9
346504,7.9
346505,6.6
346506,5.5
346507,4.7
346508,3.5
346509,4.4
346510,0.1
346511,0.0
346512,0.0
346513,0.5
346514,0.5
346515,0.4
346516,0.5
346517,0.3
346518,0.3
346519,0.2
346520,1.9
346521,1.4
346522,0.0
346523,0.0
346524,0.0
346525,0.0
346526,3.3
346527,3.8
346528,3.2
346529,3.3
346530,4.4
346531,5.8
346532,3.0
346533,3.4
346534,4.7
346535,6.1
346536,5.2
346537,4.6
346538,5.3
346539,6.5
346540,7.7
346541,9.7
346542,12.3
346543,12.9
346544,14.9
346545,15.7
346546,15.7
346547,15.3
346548,15.9
346549,15.3
346550,15.8
346551,16.7
346552,17.2
346553,16.4
346554,16.3
346555,15.5
346556,15.5
346557,14.8
346558,14.5
346559,14.0
346560,14.1
346561,14.0
