,时间,GPS车速
0,330936,9.3
1,330937,8.4
2,330938,8.4
3,330939,9.0
4,330940,10.2
5,330941,12.4
6,330942,13.8
7,330943,14.6
8,330944,14.1
9,331067,30.7
10,331068,31.2
11,331069,31.3
12,331070,31.8
13,331071,32.4
14,331072,33.2
15,331073,34.4
16,331074,37.0
17,331075,39.5
18,331076,41.5
19,331077,42.9
20,331078,44.2
21,331079,45.2
22,331080,46.0
23,331081,46.9
24,331082,47.6
25,331083,47.7
26,331084,47.4
27,331085,46.9
28,331086,46.2
29,331087,45.4
30,331088,44.6
31,331089,43.6
32,331090,42.6
33,331091,41.4
34,331092,40.0
35,331093,40.7
36,331094,41.8
37,331095,41.1
38,331096,37.8
39,331097,33.0
40,331098,28.5
41,331099,27.4
42,331100,26.6
43,331101,25.2
44,331102,22.7
45,331103,19.8
46,331104,17.0
47,331105,16.6
48,331106,16.5
49,331107,16.2
50,331108,15.8
51,331109,15.8
52,331110,16.7
53,331111,17.1
54,331112,13.6
55,331113,11.7
56,331114,10.9
