,时间,GPS车速
0,325159,8.4
1,325160,7.0
2,325161,7.5
3,325162,11.1
4,325163,15.6
5,325164,18.7
6,325165,20.9
7,325166,20.0
8,325167,17.5
9,325168,16.1
10,325169,18.2
11,325170,22.1
12,325171,25.5
13,325172,28.4
14,325173,29.1
15,325174,30.0
16,325175,32.4
17,325176,34.7
18,325177,36.0
19,325178,37.7
20,325179,39.0
21,325180,40.1
22,325181,40.1
23,325182,39.2
24,325295,33.6
25,325296,35.7
26,325297,36.1
27,325298,33.9
28,325299,30.3
29,325300,25.7
30,325301,21.3
31,325302,15.7
32,325303,15.7
33,325304,16.5
34,325305,19.5
35,325306,22.7
36,325307,25.1
37,325308,27.0
38,325309,29.2
39,325310,30.7
40,325311,31.2
41,325312,31.3
42,325313,31.1
43,325314,30.2
44,325315,28.9
45,325316,25.8
46,325317,24.4
47,325318,24.3
48,325319,25.0
49,325423,27.1
50,325424,26.7
51,325425,25.9
52,325426,24.9
53,325427,24.9
54,325428,24.9
55,325429,25.0
56,325430,24.5
57,325431,24.4
58,325432,24.3
59,325433,24.3
60,325434,24.5
61,325435,24.8
62,325436,25.0
63,325437,24.8
64,325438,22.4
65,325439,17.4
66,325440,10.0
