时间,GPS车速
330600,0.0
330601,0.0
330602,0.0
330603,0.0
330604,0.0
330605,0.0
330606,0.0
330607,0.0
330608,0.0
330609,0.0
330610,0.0
330611,0.0
330612,0.0
330613,0.0
330614,0.0
330615,0.0
330616,0.0
330617,0.0
330618,0.0
330619,0.0
330620,0.0
330621,0.0
330622,0.0
330623,0.0
330624,0.0
330625,0.0
330626,0.0
330627,0.0
330628,0.0
330629,0.0
330630,0.0
330631,0.0
330632,0.0
330633,0.0
330634,0.0
330635,0.0
330636,0.0
330637,0.0
330638,0.0
330639,0.0
330640,0.0
330641,0.0
330642,0.0
330643,0.0
330644,0.0
330645,0.0
330646,0.0
330647,0.0
330648,0.0
330649,0.0
330650,0.0
330651,0.0
330652,0.0
330653,0.0
330654,0.0
330655,0.0
330656,0.0
330657,0.0
330658,8.9
330659,11.9
330660,14.1
330661,14.9
330662,15.4
330663,16.2
330664,16.6
330665,17.2
330666,18.1
330667,18.4
330668,18.4
330669,18.5
330670,18.4
330671,18.5
330672,17.4
330673,21.7
330674,20.8
330675,17.4
330676,14.4
330677,18.8
330678,22.8
330679,24.6
330680,26.2
330681,30.7
330682,31.7
330683,32.2
330684,32.8
330685,33.0
330686,34.0
330687,34.3
330688,34.9
330689,35.4
330690,37.5
330691,38.0
330692,40.8
330693,41.2
330694,40.0
330695,38.3
330696,34.4
330697,32.0
330698,30.7
330699,36.1
330700,36.2
330701,34.6
330702,34.3
330703,34.4
330704,35.0
330705,37.0
330706,39.5
330707,41.3
330708,41.8
330709,40.2
330710,39.5
330711,37.2
330712,39.0
330713,39.7
330714,39.8
330715,38.0
330716,40.2
330717,42.0
330718,43.8
330719,44.7
330720,44.4
330721,44.5
330722,43.6
330723,43.7
330724,43.2
330725,42.0
330726,41.4
330727,40.9
330728,39.7
330729,37.7
330730,37.3
330731,38.7
330732,40.1
330733,38.6
330734,37.6
330735,33.8
330736,33.8
330737,35.3
330738,36.7
330811,48.4
330812,48.5
330813,48.5
330814,48.4
330815,48.3
330816,48.2
330817,48.1
330818,48.0
330819,47.8
330820,47.8
330821,47.6
330822,47.5
330823,47.5
330824,47.5
330825,47.5
330826,47.9
330827,48.3
330828,48.7
330829,49.1
330830,49.6
330831,50.0
330832,50.5
330833,51.0
330834,51.4
330835,51.5
330836,52.4
330837,52.8
330838,52.8
330839,52.9
330840,50.6
330841,48.7
330842,46.6
330843,45.2
330844,44.7
330845,44.6
330846,45.3
330847,46.4
330848,47.3
330849,48.3
330850,49.6
330851,51.0
330852,52.2
330853,53.8
330854,53.3
330855,53.3
330856,54.1
330857,53.1
330858,54.2
330859,55.1
330860,55.6
330861,55.6
330862,55.0
330863,54.8
330864,55.1
330865,52.5
330866,51.8
330867,51.3
330868,51.2
330869,51.2
330870,51.2
330871,51.3
330872,51.7
330873,51.8
330874,51.8
330875,54.0
330876,55.7
330877,57.5
330878,59.3
330879,61.0
330880,61.6
330881,61.9
330882,62.4
330883,63.0
330884,64.5
330885,65.9
330886,67.5
330887,68.8
330888,69.8
330889,70.6
330890,71.2
330891,71.8
330892,72.4
330893,72.8
330894,72.9
330895,73.1
330896,70.9
330897,69.8
330898,69.1
330899,68.2
330900,67.0
330901,65.9
330902,65.2
330903,64.8
330904,64.3
330905,64.3
330906,64.2
330907,64.3
330908,64.3
330909,64.8
330910,64.9
330911,64.9
330912,63.6
330913,62.9
330914,63.5
330915,63.5
330916,63.6
330917,63.0
330918,62.0
330919,60.7
330920,59.3
330921,58.0
330922,55.5
330923,50.5
330924,43.9
330925,39.8
330926,38.7
330927,37.7
330928,34.4
330929,30.9
330930,28.5
330931,23.9
330932,19.8
330933,17.3
330934,14.8
330935,11.9
