,时间,GPS车速
0,343088,7.4
1,343089,5.1
2,343090,4.0
3,343091,2.8
4,343092,0.0
5,343093,0.0
6,343094,0.0
7,343095,0.0
8,343096,0.0
9,343097,0.0
10,343098,0.0
11,343099,0.0
12,343100,0.0
13,343101,0.0
14,343102,0.0
15,343103,0.0
16,343104,0.0
17,343105,0.0
18,343106,0.0
19,343107,0.0
20,343108,0.0
21,343109,0.0
22,343110,0.0
23,343111,0.0
24,343112,0.0
25,343113,0.0
26,343114,0.0
27,343115,0.0
28,343116,0.0
29,343117,0.0
30,343118,0.0
31,343119,0.0
32,343120,0.0
33,343121,0.0
34,343122,0.0
35,343123,0.0
36,343124,0.0
37,343125,0.0
38,343126,0.0
39,343127,0.0
40,343128,0.0
41,343129,0.0
42,343130,0.0
43,343131,0.0
44,343132,0.0
45,343133,0.0
46,343134,0.0
47,343135,0.0
48,343136,0.0
49,343137,0.0
50,343138,0.0
51,343139,0.0
52,343140,0.0
53,343141,0.0
54,343142,0.0
55,343143,0.0
56,343144,0.0
57,343145,0.0
58,343146,0.0
59,343147,0.0
60,343148,0.0
61,343149,0.0
62,343150,0.0
63,343151,0.0
64,343152,0.0
65,343153,0.0
66,343154,0.0
67,343155,0.0
68,343156,0.0
69,343157,10.0
70,343158,14.1
71,343159,16.9
72,343160,18.0
73,343161,19.2
74,343162,20.7
75,343163,21.8
76,343164,24.0
77,343165,25.3
78,343166,26.6
79,343167,26.6
80,343168,27.4
81,343169,26.5
82,343170,26.4
83,343171,28.2
84,343172,30.2
85,343173,30.8
86,343174,30.7
87,343175,29.8
88,343176,29.4
89,343177,28.4
90,343178,28.3
91,343179,28.0
92,343180,28.2
93,343181,28.6
94,343182,28.6
95,343183,29.1
96,343184,30.4
97,343185,31.2
98,343186,30.7
99,343187,30.2
100,343188,32.3
101,343189,33.9
102,343190,34.7
103,343191,34.6
104,343192,35.4
105,343193,36.1
106,343194,36.1
107,343195,35.5
108,343196,35.1
109,343197,34.5
110,343198,34.4
111,343199,33.5
112,343200,32.3
113,343201,31.6
114,343202,29.4
115,343203,28.5
116,343204,29.1
117,343205,28.5
118,343206,28.4
119,343207,28.4
120,343208,28.9
121,343209,29.0
122,343210,27.7
123,343211,26.1
124,343212,23.7
125,343213,24.4
126,343214,26.1
127,343215,26.9
128,343216,26.3
129,343217,24.9
130,343218,22.0
131,343219,18.7
132,343220,18.6
133,343221,20.2
134,343222,22.5
135,343223,23.7
136,343224,23.7
137,343225,24.1
138,343226,23.6
139,343227,23.9
140,343228,23.4
141,343229,23.0
142,343230,23.1
143,343231,23.9
144,343232,24.9
145,343233,24.9
146,343234,24.8
147,343235,24.7
148,343236,25.1
149,343237,24.8
150,343238,24.3
151,343239,24.7
152,343240,24.6
153,343241,23.2
154,343242,20.7
155,343243,15.1
