,时间,GPS车速
0,392957,7.6
1,392958,0.3
2,392959,0.0
3,392960,0.0
4,392961,0.0
5,392962,0.0
6,392963,0.0
7,392964,0.0
8,392965,0.0
9,392966,0.0
10,392967,0.0
11,392968,0.0
12,392969,0.0
13,392970,0.0
14,392971,0.0
15,392972,0.0
16,392973,0.0
17,392974,0.0
18,392975,0.0
19,392976,0.0
20,392977,0.0
21,392978,0.0
22,392979,0.0
23,392980,0.0
24,392981,0.0
25,392984,0.0
26,392985,0.0
27,392986,8.3
28,392987,15.7
29,392988,19.8
30,392989,22.6
31,392990,24.0
32,392991,26.6
33,392992,27.4
34,392993,28.4
35,392994,31.3
36,392995,34.5
37,392996,37.2
38,392997,38.4
39,392998,39.6
40,392999,41.6
41,393000,42.8
42,393001,43.6
43,393002,46.4
44,393003,47.2
45,393004,46.8
46,393005,45.2
47,393006,43.0
48,393007,40.4
49,393008,39.0
50,393009,39.0
51,393010,40.5
52,393011,41.5
53,393012,42.6
54,393013,43.7
55,393014,44.5
56,393015,45.7
57,393016,46.5
58,393017,47.1
59,393018,47.5
60,393019,47.6
61,393178,27.9
62,393179,27.9
63,393180,25.4
64,393181,26.4
65,393182,26.8
66,393183,26.2
67,393184,26.3
68,393185,27.0
69,393186,25.1
70,393187,23.7
71,393188,23.0
72,393189,23.1
73,393190,23.4
74,393191,23.8
75,393192,24.3
76,393193,24.3
77,393194,26.1
78,393195,27.3
79,393196,27.3
80,393197,27.2
81,393198,24.6
82,393199,23.3
83,393200,23.8
84,393201,24.4
85,393202,26.0
86,393203,27.9
87,393204,29.3
88,393205,29.9
89,393206,29.8
90,393207,29.7
91,393208,29.2
92,393209,29.1
93,393210,28.7
94,393211,28.5
95,393212,30.0
96,393213,30.0
97,393214,29.0
98,393215,28.2
99,393216,29.2
100,393217,27.9
101,393218,26.0
102,393219,26.7
103,393220,29.2
104,393221,30.5
105,393222,31.2
106,393223,32.7
107,393224,34.1
108,393225,34.1
109,393226,35.0
110,393227,36.0
111,393228,37.0
112,393229,36.6
113,393230,36.7
114,393231,36.6
115,393232,35.4
116,393233,34.8
117,393234,34.3
118,393235,34.2
119,393236,36.5
120,393237,35.5
121,393238,36.6
122,393239,36.1
123,393240,37.8
124,393241,37.4
125,393242,37.8
126,393243,37.1
127,393244,40.6
128,393245,41.6
129,393246,40.8
130,393247,40.8
131,393248,39.7
132,393249,38.9
133,393250,38.9
134,393251,39.0
135,393252,37.3
136,393253,36.5
137,393254,36.0
138,393255,35.1
139,393256,34.7
140,393257,33.8
141,393258,32.7
142,393259,30.0
143,393260,29.4
144,393261,29.3
145,393262,30.5
146,393263,31.2
147,393264,32.8
148,393265,33.2
149,393266,34.3
150,393267,35.4
151,393268,35.8
152,393269,36.2
153,393270,36.9
154,393271,37.7
155,393272,38.2
156,393273,36.8
157,393274,38.1
158,393275,37.7
159,393276,37.9
160,393277,38.2
161,393278,37.7
162,393279,36.0
163,393280,35.7
164,393281,36.1
165,393282,36.0
166,393283,34.8
167,393284,35.1
168,393285,33.9
169,393286,37.0
170,393287,38.7
171,393288,39.9
172,393289,40.2
173,393318,42.6
174,393319,42.5
175,393320,42.1
176,393321,42.0
177,393322,43.2
178,393323,41.5
179,393324,40.4
180,393325,39.0
181,393326,36.0
182,393327,33.8
183,393328,31.9
184,393329,29.5
185,393330,28.4
186,393331,27.1
187,393332,25.1
188,393333,21.4
189,393334,16.3
190,393335,11.2
