,时间,GPS车速
0,331401,8.6
1,331402,6.7
2,331403,5.5
3,331404,4.4
4,331405,4.4
5,331406,5.3
6,331407,6.9
7,331408,10.5
8,331409,12.9
9,331410,13.5
10,331411,14.0
11,331412,15.9
12,331413,18.2
13,331414,20.1
14,331415,22.3
15,331416,24.0
16,331417,24.9
17,331418,24.9
18,331419,24.9
19,331420,25.3
20,331421,25.4
21,331422,25.7
22,331423,26.0
23,331424,26.1
24,331425,26.6
25,331426,27.2
26,331427,28.3
27,331428,29.4
28,331429,29.9
29,331430,28.9
30,331431,28.6
31,331432,27.6
32,331433,31.7
33,331434,33.0
34,331435,32.5
35,331436,32.4
36,331437,31.4
37,331438,31.0
38,331439,31.1
39,331440,33.2
40,331441,34.1
41,331442,34.2
42,331443,35.4
43,331444,36.1
44,331445,36.8
45,331446,36.7
46,331447,36.7
47,331448,36.2
48,331449,35.7
49,331450,35.3
50,331451,35.2
51,331452,35.5
52,331453,37.0
53,331454,38.6
54,331455,40.1
55,331456,41.1
56,331457,41.1
57,331458,41.2
58,331459,41.2
59,331460,40.5
60,331461,38.5
61,331462,34.4
62,331463,27.8
63,331464,19.6
64,331465,11.4
