时间,GPS车速
240949,0.0
240950,0.0
240951,0.4
240952,8.5
240953,11.0
240954,14.2
240955,17.9
240956,18.3
240957,19.6
240958,23.1
240959,22.1
240960,25.0
240961,30.4
240962,31.9
240963,33.5
240964,35.2
240965,37.3
240966,39.0
240967,40.8
240968,42.6
240969,44.0
240970,45.3
240971,46.5
240972,47.5
240973,48.2
240974,48.3
240975,48.1
240976,47.4
240977,46.3
240978,44.5
241155,15.8
241156,15.7
241157,16.4
241158,16.9
241159,18.5
241160,21.1
241161,22.8
241162,25.5
241163,29.0
241164,32.3
241165,35.2
241166,37.1
241167,38.9
241168,41.1
241169,43.1
241170,45.2
241171,46.9
241172,48.4
241173,49.9
241174,51.3
241175,52.6
241176,53.9
241177,55.0
241178,55.7
241179,55.5
241180,55.5
241181,55.9
241182,56.4
241183,56.8
241184,57.2
241185,57.7
241186,58.0
241187,58.1
241188,58.3
241189,58.2
241190,57.6
241191,57.3
241192,57.3
241193,57.0
241194,56.4
241195,56.0
241196,55.6
241197,55.1
241198,54.4
241199,53.7
241200,53.6
241201,53.2
241202,52.9
241203,52.8
241204,52.3
241205,52.3
241206,52.2
241207,52.3
241208,52.7
241209,53.0
241210,53.3
241211,53.4
241212,53.8
241213,53.8
241214,53.9
241215,54.0
241216,54.1
241217,54.2
241218,54.3
241219,54.4
241220,54.4
241221,54.1
241222,53.5
241223,52.5
241224,52.0
241225,52.0
241226,52.3
241227,52.0
241228,51.8
241229,50.8
241230,50.4
241231,50.5
241232,50.8
241233,50.1
241234,48.5
241235,47.4
241236,47.3
241237,47.7
241238,48.2
241239,48.8
241240,48.9
241241,48.9
241242,48.9
241243,50.0
241244,51.1
241245,52.1
241246,52.2
241247,52.2
241248,52.2
241249,52.0
241250,51.5
241251,51.1
241252,50.9
241253,50.5
241254,49.8
241255,48.8
241256,47.8
241257,46.8
241258,46.0
241259,45.9
241260,46.6
241261,47.4
241262,48.5
241263,49.8
241264,51.0
241265,52.3
241266,52.9
241267,53.3
241268,53.3
241269,52.6
241270,51.4
241271,49.3
241272,45.9
241273,42.0
241274,37.8
241275,34.2
241276,32.8
241277,30.1
241278,25.9
241279,19.9
241280,13.9
241281,10.7
241282,9.5
241283,10.8
241284,14.8
241285,16.8
241286,17.4
241287,18.4
241288,18.8
241289,18.4
241290,20.6
241291,23.3
241292,25.4
241293,27.4
241294,28.8
241295,29.6
241296,29.2
241297,28.8
241298,27.3
241299,25.5
241300,22.6
241301,19.4
241302,19.0
241303,18.4
241304,19.0
241305,19.8
241306,17.1
241307,14.3
241308,10.8
241309,6.8
241310,6.2
241311,7.0
241312,11.1
241313,15.3
241314,18.1
241315,21.2
241316,22.6
241317,22.7
241318,24.0
241319,23.7
241320,22.7
241321,22.7
241322,24.3
241323,26.4
241324,28.2
241325,29.8
241326,31.5
241327,32.9
241328,33.3
241329,33.3
241330,33.2
241331,33.8
241332,34.8
241333,35.5
241334,35.9
241335,37.6
241336,38.2
241337,37.9
241338,37.5
241339,36.8
241340,36.4
241341,34.3
241342,31.7
241343,27.7
241344,24.5
241345,19.8
241346,14.5
241347,13.2
241348,12.9
241349,13.2
241350,14.3
241351,15.7
241352,16.7
241353,16.7
241354,17.4
241355,17.4
241356,15.2
241357,10.7
241358,0.0
