时间,GPS车速
46361,0.0
46362,0.0
46363,0.0
46364,0.0
46365,0.0
46366,0.0
46367,0.0
46368,0.0
46369,0.0
46370,0.0
46371,0.0
46372,0.0
46373,0.0
46374,0.0
46375,0.0
46376,0.0
46377,0.0
46378,0.0
46379,0.0
46380,0.0
46381,0.0
46382,0.0
46383,0.0
46384,0.0
46385,0.0
46386,0.0
46387,0.0
46388,0.0
46389,0.0
46390,0.0
46391,0.0
46392,0.0
46393,0.0
46394,0.0
46395,0.0
46396,0.0
46397,0.0
46398,0.0
46399,0.0
46400,0.0
46621,33.1
46622,33.2
46623,33.2
46624,33.2
46625,35.0
46626,37.2
46627,39.3
46628,41.1
46629,42.3
46630,42.8
46631,42.8
46632,42.9
46633,43.0
46634,43.0
46635,42.6
46636,42.1
46637,42.4
46638,42.3
46639,41.6
46640,40.9
46641,40.0
46642,38.8
46643,37.5
46701,0.0
