,时间,GPS车速
0,416358,7.9
1,416359,0.2
2,416360,0.0
3,416361,0.0
4,416362,0.0
5,416363,0.0
6,416364,0.0
7,416365,0.0
8,416366,0.0
9,416367,0.0
10,416368,0.0
11,416369,0.0
12,416370,0.0
13,416371,0.0
14,416372,0.0
15,416373,0.0
16,416374,0.0
17,416375,0.0
18,416376,0.0
19,416377,0.0
20,416378,0.0
21,416379,0.0
22,416380,0.0
23,416381,0.0
24,416382,0.0
25,416383,0.0
26,416384,0.0
27,416385,0.0
28,416386,0.0
29,416387,0.0
30,416388,0.0
31,416389,0.0
32,416390,0.0
33,416391,0.0
34,416392,0.0
35,416393,0.0
36,416394,0.0
37,416395,0.0
38,416396,0.0
39,416397,0.0
40,416398,0.2
41,416399,0.0
42,416400,0.0
43,416401,0.0
44,416402,0.0
45,416403,0.0
46,416404,0.0
47,416405,0.0
48,416406,0.0
49,416407,0.0
50,416408,0.0
51,416409,0.0
52,416410,0.0
53,416411,0.0
54,416412,0.0
55,416413,0.0
56,416414,0.0
57,416415,0.0
58,416416,0.0
59,416417,0.0
60,416418,0.0
61,416419,0.0
62,416420,0.0
63,416421,0.0
64,416422,0.0
65,416423,0.0
66,416424,0.0
67,416425,0.0
68,416426,0.0
69,416427,0.0
70,416428,0.0
71,416429,0.0
72,416430,0.0
73,416431,0.0
74,416432,0.0
75,416433,0.0
76,416434,0.0
77,416435,0.0
78,416436,0.0
79,416437,0.0
80,416438,0.0
81,416439,0.0
82,416440,0.0
83,416441,0.0
84,416442,0.0
85,416443,0.0
86,416444,0.0
87,416445,0.0
88,416446,0.0
89,416447,0.0
90,416448,0.0
91,416449,0.0
92,416450,0.0
93,416451,0.0
94,416452,0.0
95,416453,0.0
96,416454,0.0
97,416455,0.0
98,417050,9.6
99,417051,11.3
100,417052,11.4
101,417053,10.8
102,417054,10.0
