,时间,GPS车速
0,346303,8.0
1,346304,4.1
2,346305,0.0
3,346306,0.0
4,346307,0.0
5,346308,0.0
6,346309,0.0
7,346310,0.0
8,346311,0.0
9,346312,0.0
10,346313,0.0
11,346314,0.0
12,346315,0.0
13,346316,0.0
14,346317,0.0
15,346318,0.0
16,346319,0.0
17,346320,0.0
18,346321,0.0
19,346322,0.0
20,346323,0.0
21,346324,0.0
22,346325,0.0
23,346326,0.0
24,346327,0.0
25,346328,0.0
26,346329,0.0
27,346330,0.0
28,346331,0.0
29,346332,0.0
30,346333,0.0
31,346334,0.0
32,346335,0.0
33,346336,0.0
34,346337,0.0
35,346338,0.0
36,346339,0.0
37,346340,0.0
38,346341,0.0
39,346342,0.0
40,346343,0.0
41,346344,6.8
42,346345,8.8
43,346346,8.8
44,346347,8.3
45,346348,7.8
46,346349,8.8
47,346350,11.5
48,346351,13.8
49,346352,15.7
50,346353,17.8
51,346354,20.4
52,346355,22.6
53,346356,24.5
54,346357,26.4
55,346358,28.0
56,346359,30.2
57,346360,32.3
58,346361,32.7
59,346362,34.0
60,346363,34.5
61,346364,34.9
62,346365,37.8
63,346366,38.8
64,346367,39.3
65,346368,38.4
66,346369,39.7
67,346370,41.4
68,346371,40.1
69,346372,41.0
70,346373,41.1
71,346374,39.7
72,346375,41.6
73,346376,42.0
74,346377,42.1
75,346378,42.7
76,346379,43.1
77,346380,43.5
78,346381,43.5
79,346382,43.5
80,346383,42.7
81,346384,43.8
82,346385,42.3
83,346386,42.3
84,346387,42.2
85,346388,40.6
86,346389,40.5
87,346390,40.0
88,346391,40.7
89,346392,40.4
90,346393,40.4
91,346394,40.4
92,346395,40.5
93,346396,40.8
94,346397,40.9
95,346398,41.3
96,346399,41.5
97,346400,41.6
98,346401,41.6
99,346402,41.8
100,346403,41.8
101,346404,41.8
102,346405,41.4
103,346406,41.0
104,346407,40.5
105,346408,40.0
106,346409,39.4
107,346410,38.7
108,346411,37.9
109,346412,37.0
110,346413,35.7
111,346414,34.7
112,346415,33.3
113,346416,33.3
114,346417,32.4
115,346418,31.4
116,346419,29.5
117,346420,25.5
118,346421,20.6
119,346422,14.2
