,时间,GPS车速
0,98215,0.0
1,98216,7.3
2,98217,13.1
3,98218,17.2
4,98219,17.3
5,98220,17.9
6,98221,17.0
7,98222,17.0
8,98224,17.4
9,98225,26.6
10,98226,29.5
11,98227,28.3
12,98228,32.7
13,98229,33.4
14,98230,35.4
15,98231,37.7
16,98232,39.5
17,98233,41.2
18,98234,43.1
19,98235,43.9
20,98236,44.4
21,98237,44.4
22,98238,44.0
23,98239,43.2
24,98240,42.9
25,98241,42.7
26,98242,41.9
27,98243,41.3
28,98244,40.5
29,98245,39.8
30,98246,39.8
31,98247,40.9
32,98248,42.5
33,98249,43.7
34,98250,44.4
35,98251,44.8
36,98252,45.1
37,98253,45.9
38,98254,46.8
39,98255,47.8
40,98256,49.0
41,98257,50.0
42,98258,50.8
43,98259,51.5
44,98260,52.2
45,98261,52.8
46,98262,53.0
47,98263,53.3
48,98264,54.7
49,98265,55.2
50,98266,55.7
51,98267,56.1
52,98268,56.6
53,98269,56.7
54,98270,56.7
55,98271,56.6
56,98272,56.1
57,98273,55.7
58,98274,55.3
59,98275,54.9
60,98276,54.5
61,98277,54.4
62,98278,54.4
63,98279,54.0
64,98280,53.3
65,98281,53.5
66,98282,51.5
67,98283,50.5
68,98284,48.3
69,98285,45.9
70,98286,44.2
71,98287,43.3
72,98288,42.8
73,98289,42.2
74,98290,41.7
75,98291,41.1
76,98292,40.7
77,98293,40.1
78,98294,40.1
79,98295,40.7
80,98296,41.1
81,98297,42.2
82,98298,43.0
83,98299,43.7
84,98300,44.1
85,98301,44.2
86,98302,44.3
87,98303,44.3
88,98304,44.3
89,98305,43.8
90,98306,43.2
91,98307,42.4
92,98308,41.8
93,98309,41.1
94,98310,40.6
95,98311,40.5
96,98312,40.1
97,98313,40.1
98,98314,38.9
99,98315,39.9
100,98316,40.8
101,98317,41.5
102,98318,42.0
103,98319,42.0
104,98320,42.7
105,98321,43.8
106,98322,44.2
107,98323,43.4
108,98324,43.8
109,98325,43.5
110,98326,43.8
111,98327,44.2
112,98328,44.7
113,98329,45.3
114,98330,45.8
115,98331,46.3
116,98332,46.3
117,98333,46.8
118,98334,46.5
119,98335,46.2
120,98336,46.0
121,98337,45.5
122,98338,45.1
123,98339,44.6
124,98340,43.2
125,98341,45.2
126,98342,46.1
127,98343,45.1
128,98344,46.0
129,98345,45.4
130,98346,45.5
131,98347,46.2
132,98348,44.7
133,98349,43.8
134,98350,43.4
135,98351,44.2
136,98352,44.3
137,98418,64.0
138,98419,64.1
139,98420,65.0
140,98421,66.0
141,98422,66.8
142,98423,64.9
143,98424,66.1
144,98425,67.7
145,98426,67.6
146,98427,67.6
147,98428,68.9
148,98429,69.9
149,98430,69.1
150,98431,68.7
151,98432,68.7
152,98433,68.4
153,98434,68.5
154,98435,68.8
155,98436,68.5
156,98437,68.2
157,98438,67.8
158,98439,68.3
159,98440,68.1
160,98441,69.8
161,98442,69.0
162,98443,70.9
163,98444,70.8
164,98445,70.9
165,98446,69.1
166,98447,67.8
167,98448,62.8
168,98449,54.2
169,98450,44.5
170,98451,34.8
171,98452,25.8
172,98453,20.1
173,98454,17.9
174,98455,17.2
175,98456,16.8
176,98457,16.2
177,98458,16.2
178,98459,15.8
179,98460,16.7
180,98461,17.6
181,98462,19.6
182,98463,22.1
183,98464,24.2
184,98465,25.6
185,98466,27.7
186,98467,29.9
187,98468,32.4
188,98469,34.8
189,98470,37.2
190,98471,39.7
191,98472,41.4
192,98473,42.1
193,98474,43.4
194,98475,45.2
195,98476,46.7
196,98477,47.7
197,98478,47.0
198,98479,47.2
199,98480,48.5
200,98481,49.0
201,98482,48.7
202,98483,46.7
203,98484,44.2
204,98485,42.6
205,98486,41.5
206,98487,40.2
207,98488,39.2
208,98489,37.2
209,98490,35.6
210,98491,33.3
211,98492,31.6
212,98493,30.0
213,98494,27.1
214,98495,22.5
215,98496,18.1
216,98497,13.9
217,98498,12.3
218,98499,12.3
219,98500,12.5
220,98501,10.8
