时间,GPS车速
190614,8.9
190615,3.8
190616,0.1
190617,0.0
190618,0.0
190619,0.0
190620,0.0
190621,0.0
190622,0.0
190623,0.0
190624,0.0
190625,0.0
190626,0.0
190627,0.0
190628,0.0
190629,2.8
190630,4.4
190631,7.7
190632,11.9
190633,15.5
190634,18.7
190635,21.7
190636,24.3
190637,26.2
190638,28.0
190639,29.8
190640,31.4
190641,32.9
190642,34.5
190643,35.9
190644,37.2
190645,38.3
190646,39.4
190647,40.2
190648,41.2
190649,42.1
190650,42.8
190651,42.9
190652,43.0
190653,43.0
190654,43.0
190655,43.0
190656,43.1
190657,43.1
190658,43.2
190659,43.2
190660,43.3
190661,43.9
190662,44.0
190663,44.5
190664,44.8
