,时间,GPS车速
0,323196,6.7
1,323197,5.5
2,323198,0.2
3,323199,0.2
4,323200,0.0
5,323201,0.0
6,323202,0.2
7,323203,0.2
8,323204,0.2
9,323205,0.2
10,323206,0.4
11,323208,11.4
12,323210,20.4
13,323211,16.0
14,323212,36.7
15,323213,25.1
16,323214,25.2
17,323215,25.8
18,323216,27.7
19,323217,28.6
20,323218,30.8
21,323219,30.7
22,323220,32.0
23,323221,34.2
24,323222,35.3
25,323223,35.6
26,323224,36.2
27,323225,36.3
28,323226,36.7
29,323228,35.4
30,323229,35.9
31,323230,42.0
32,323231,35.6
33,323232,37.2
34,323233,36.6
35,323234,36.6
36,323235,42.1
37,323236,42.1
38,323237,42.1
39,323238,42.1
40,323239,43.6
41,323240,43.5
42,323241,43.5
43,323242,42.4
44,323244,42.0
45,323246,44.7
46,323247,42.1
47,323248,42.1
48,323252,42.7
49,323253,44.1
50,323254,43.0
51,323255,43.6
52,323256,42.4
53,323258,42.0
54,323259,48.1
55,323260,44.7
56,323262,44.9
57,323263,43.4
58,323264,44.7
59,323265,43.5
60,323266,43.8
61,323267,46.4
62,323268,43.8
63,323269,44.5
64,323270,44.6
65,323271,45.4
66,323272,46.6
67,323273,45.2
68,323274,45.9
69,323275,45.8
70,323276,47.2
71,323277,47.1
72,323278,46.4
73,323280,46.4
74,323282,47.3
75,323283,46.8
76,323284,46.2
77,323285,46.6
78,323286,46.6
79,323288,46.1
80,323289,46.5
81,323290,51.4
82,323292,48.3
83,323293,47.7
84,323294,48.1
85,323295,48.2
86,323296,48.1
87,323297,47.8
88,323298,48.3
89,323299,48.2
90,323300,48.8
91,323301,51.0
92,323302,50.3
93,323303,51.5
94,323304,51.4
95,323306,50.3
96,323307,50.6
97,323308,51.0
98,323309,51.4
99,323310,51.3
100,323311,51.2
101,323312,51.3
102,323313,51.2
103,323314,51.0
104,323316,46.8
105,323317,41.9
106,323318,39.7
107,323319,39.0
108,323320,39.1
109,323321,40.3
110,323322,40.3
111,323323,39.3
112,323324,38.4
113,323325,39.0
114,323326,39.7
115,323327,39.2
116,323328,39.7
117,323329,45.9
118,323330,45.7
119,323331,40.3
120,323332,40.3
121,323333,42.1
122,323334,42.0
123,323335,42.9
124,323336,42.5
125,323337,41.2
126,323338,41.1
127,323339,43.7
128,323340,43.8
129,323341,45.8
130,323342,45.7
131,323343,41.6
132,323344,41.6
133,323345,42.0
134,323346,41.9
135,323347,41.9
136,323348,41.2
137,323349,44.1
138,323350,44.1
139,323351,45.5
140,323352,45.4
141,323353,44.1
142,323354,44.2
143,323355,44.1
144,323356,44.0
145,323357,50.8
146,323358,42.8
147,323359,45.5
148,323360,45.5
149,323361,44.3
150,323362,44.4
151,323363,43.7
152,323364,44.4
153,323365,47.3
154,323366,47.4
155,323367,50.2
156,323368,50.2
157,323369,47.5
158,323370,47.6
159,323371,50.8
160,323373,50.8
161,323374,32.8
162,323375,51.4
163,323376,50.3
164,323377,47.1
165,323378,46.3
166,323379,43.1
167,323380,42.4
168,323381,37.6
169,323382,37.5
170,323383,35.0
171,323384,34.7
172,323385,34.6
173,323386,34.2
174,323387,32.8
175,323389,33.2
176,323390,32.6
177,323391,35.2
178,323393,34.2
179,323394,33.5
180,323395,20.6
181,323396,20.6
182,323397,32.0
183,323398,21.1
184,323399,33.6
185,323400,33.5
186,323401,31.8
187,323402,31.7
188,323403,29.2
189,323404,28.4
190,323405,26.0
191,323406,18.9
192,323407,21.6
193,323408,20.6
194,323411,21.1
195,323413,27.6
196,323414,42.6
197,323415,24.0
198,323416,45.8
199,323417,20.1
200,323418,17.9
201,323419,18.9
202,323421,35.1
203,323422,25.5
204,323423,30.8
205,323424,33.5
206,323425,66.0
207,323426,38.9
208,323427,42.6
209,323429,45.8
210,323430,68.0
211,323431,60.9
212,323432,62.8
213,323433,57.0
214,323434,55.5
215,323435,58.0
216,323436,59.0
217,323437,61.3
218,323438,63.0
219,323439,66.0
220,323441,65.9
221,323442,68.2
222,323443,68.0
223,323445,67.0
224,323446,67.4
225,323447,68.5
226,323448,69.4
227,323449,71.1
228,323450,72.1
229,323451,72.1
230,323452,73.4
231,323453,73.5
232,323454,71.8
233,323455,71.2
234,323456,71.7
235,323457,62.3
236,323458,60.5
237,323459,58.7
238,323461,56.3
239,323462,55.0
240,323463,50.7
241,323464,49.5
242,323465,40.7
243,323466,32.3
244,323467,28.7
245,323468,16.9
