,时间,GPS车速
0,512505,5.0
1,512506,0.1
2,512507,0.1
3,512508,0.2
4,512509,0.3
5,512510,0.2
6,512511,0.2
7,512512,0.0
8,512513,0.0
9,512514,0.0
10,512515,0.0
11,512516,0.2
12,512517,0.2
13,512518,0.2
14,512519,0.0
15,512520,0.0
16,512521,0.5
17,512522,0.6
18,512523,0.5
19,512524,0.5
20,512525,0.5
21,512526,6.9
22,512527,7.1
23,512528,11.9
24,512529,12.8
25,512530,14.9
26,512531,16.3
27,512532,18.2
28,512533,19.0
29,512534,21.3
30,512535,21.7
31,512536,21.8
32,512537,21.9
33,512538,22.7
34,512539,22.7
35,512540,22.7
36,512541,22.9
37,512542,23.6
38,512543,23.9
39,512544,24.5
40,512545,24.6
41,512546,24.6
42,512547,27.7
43,512548,26.1
44,512549,24.3
45,512550,24.4
46,512551,23.1
47,512552,17.9
48,512553,15.7
49,512554,12.8
50,512555,12.5
