,时间,GPS车速
0,504895,6.5
1,504896,5.2
2,504897,5.1
3,504898,4.2
4,504899,2.7
5,504900,2.1
6,504901,0.0
7,504902,0.0
8,504903,0.0
9,504904,0.0
10,504905,0.0
11,504906,7.7
12,504907,8.1
13,504908,8.1
14,504909,9.1
15,504910,11.1
16,504911,12.1
17,504912,13.0
18,504913,14.9
19,504914,16.8
20,504915,17.4
21,504916,18.2
22,504917,20.2
23,504918,22.1
24,504919,25.5
25,504920,27.1
26,504921,29.8
27,504922,33.0
28,504923,34.0
29,504924,35.9
30,504925,37.9
31,504926,41.5
32,504927,41.9
33,504928,44.4
34,504929,44.9
35,504930,45.7
36,504931,46.2
37,504932,46.6
38,504933,47.2
39,504934,47.2
40,504935,46.0
41,504936,45.7
42,504937,44.7
43,504938,43.0
44,504939,42.4
45,504940,41.0
46,504941,41.0
47,504942,40.0
48,504943,39.9
49,504944,40.0
50,504945,40.1
51,504946,40.1
52,504947,38.7
53,504948,38.4
54,504949,38.3
55,504950,38.3
56,504951,35.7
57,504952,35.6
58,504953,35.5
59,504954,35.5
60,504955,35.1
61,504956,35.6
62,504957,36.2
63,504958,36.7
64,504959,38.1
65,504960,38.0
66,504961,36.2
67,504962,35.5
68,504963,33.8
69,504964,33.2
70,504965,33.1
71,504966,32.7
72,504967,32.6
73,504968,31.8
74,504969,31.8
75,504970,33.0
76,504971,35.2
77,504972,35.9
78,504973,35.8
79,504974,36.8
80,504975,39.6
81,504976,40.3
82,504977,41.4
83,504978,41.4
84,504979,40.5
85,504980,42.3
86,504981,42.6
87,504982,42.5
88,504983,42.5
89,504984,42.1
90,504985,41.4
91,504986,40.1
92,504987,40.2
93,504988,40.2
94,504989,41.1
95,504990,41.1
96,504991,41.5
97,504992,41.9
98,504993,42.7
99,504994,42.5
100,504995,40.4
101,504996,40.5
102,504997,41.5
103,504998,42.1
104,504999,42.2
105,505000,42.9
106,505001,44.6
107,505002,46.2
108,505003,47.4
109,505004,48.1
110,505005,49.9
111,505006,51.2
112,505007,50.8
113,505008,51.6
114,505009,52.1
115,505010,53.9
116,505011,54.0
117,505012,55.4
118,505013,55.3
119,505014,55.2
120,505015,55.8
121,505016,55.8
122,505017,56.0
123,505018,53.9
124,505019,53.6
125,505020,54.4
126,505021,53.8
127,505022,55.9
128,505023,55.8
129,505024,56.7
130,505025,56.5
131,505026,56.8
132,505027,57.1
133,505028,55.1
134,505029,54.6
135,505030,54.2
136,505031,54.5
137,505032,54.4
138,505033,54.8
139,505034,54.7
140,505035,54.6
141,505036,51.9
142,505037,53.0
143,505038,40.4
144,505039,38.2
145,505040,29.9
146,505041,27.6
147,505042,18.3
148,505043,14.4
