时间,GPS车速
478554,6.7
478555,4.5
478556,3.2
478557,1.9
478558,0.0
478559,0.0
478560,2.7
478561,0.0
478562,0.0
478563,0.0
478564,0.0
478565,0.2
478566,0.0
478567,0.0
478568,0.2
478569,0.0
478570,0.0
478571,0.0
478572,0.0
478573,0.0
478574,0.0
478575,0.3
478576,0.4
478577,0.6
478578,7.7
478579,7.3
478580,6.3
478581,6.3
478582,6.4
478583,7.2
478584,8.2
478585,8.3
478586,7.1
478587,6.5
478588,6.5
478589,6.1
478590,4.8
478591,4.5
478592,3.9
478593,3.0
478594,2.8
478595,3.3
478596,3.8
478597,3.8
478598,3.5
478599,4.4
478600,4.0
478601,3.0
478602,2.8
478603,2.0
478604,1.6
478605,1.5
478606,0.0
478607,0.0
478608,0.0
478609,0.0
478610,0.0
478611,0.0
478612,0.0
478613,0.0
478614,0.0
478615,3.0
478616,4.5
478617,4.7
478618,5.7
478619,6.9
478620,7.0
478621,7.4
478622,8.1
478623,8.2
478624,10.6
478625,12.2
478626,14.0
478627,14.1
478628,13.5
478629,13.5
478630,12.8
478631,12.0
