,时间,GPS车速
0,481783,8.6
1,481784,5.5
2,481785,4.7
3,481786,2.1
4,481787,2.0
5,481788,0.0
6,481789,0.0
7,481790,0.0
8,481791,0.0
9,481792,0.0
10,481793,0.0
11,481794,0.0
12,481795,0.0
13,481796,0.0
14,481797,0.0
15,481798,0.0
16,481799,0.0
17,481800,0.0
18,481801,0.0
19,481802,0.0
20,481803,0.0
21,481804,0.0
22,481805,0.0
23,481806,0.0
24,481807,0.0
25,481808,0.0
26,481809,0.0
27,481810,0.0
28,481811,0.0
29,481812,0.0
30,481813,0.0
31,481814,0.0
32,481815,0.0
33,481816,0.0
34,481817,0.0
35,481818,0.0
36,481819,0.0
37,481820,0.0
38,481821,0.0
39,481822,0.0
40,481823,0.0
41,481824,0.0
42,481825,0.0
43,481826,2.7
44,481827,3.2
45,481828,4.8
46,481829,12.0
47,481830,17.0
48,481831,19.2
49,481832,22.7
50,481833,23.5
51,481834,25.1
52,481835,24.5
53,481836,24.5
54,481837,27.9
55,481838,31.4
56,481839,32.9
57,481840,35.1
58,481841,33.9
59,481842,33.8
60,481843,34.7
61,481844,36.8
62,481845,38.1
63,481846,39.2
64,481847,38.2
65,481848,37.2
66,481849,37.1
67,481850,37.4
68,481851,38.5
69,481852,40.4
70,481853,40.5
71,481854,39.2
72,481855,36.7
73,481856,32.5
74,481857,23.7
75,481858,19.8
76,481859,15.0
77,481860,12.0
