,时间,GPS车速
0,200,8.6
1,201,7.5
2,202,9.2
3,203,12.2
4,204,13.5
5,205,16.0
6,206,17.9
7,207,19.6
8,208,20.6
9,209,23.2
10,210,24.4
11,211,25.8
12,212,26.6
13,213,27.1
14,214,27.5
15,215,28.4
16,216,29.0
17,217,29.6
18,218,30.1
19,219,30.7
20,220,31.1
21,221,31.7
22,222,32.0
23,223,32.4
24,224,32.5
25,225,33.2
26,226,33.2
27,227,33.5
28,228,33.6
29,229,34.3
30,230,34.4
31,231,34.3
32,232,34.3
33,233,34.9
34,234,35.5
35,235,35.6
36,236,35.7
37,237,36.0
38,238,36.0
39,239,36.1
40,240,36.6
41,241,37.4
42,242,36.4
43,243,36.3
44,244,35.9
45,245,35.0
46,246,35.0
47,247,34.0
48,248,33.9
49,249,34.0
50,250,33.9
51,251,33.4
52,252,33.0
53,253,30.7
54,254,30.8
55,255,30.0
56,256,29.5
57,257,30.0
58,258,30.0
59,259,29.3
60,260,29.2
61,261,29.2
62,262,29.2
63,263,29.3
64,264,29.5
65,265,31.1
66,266,31.1
67,267,31.1
68,268,31.2
69,269,31.2
70,270,31.1
71,271,31.1
72,272,31.0
73,273,30.9
74,274,30.6
75,275,29.4
76,276,29.4
77,277,29.1
78,278,28.5
79,279,28.5
80,280,28.4
81,281,27.7
82,282,27.4
83,283,27.4
84,284,27.4
85,285,26.9
86,286,26.8
87,287,26.8
88,288,27.2
89,289,27.2
90,290,27.2
91,291,27.6
92,292,27.6
93,293,27.0
94,294,26.9
95,295,26.8
96,296,26.7
97,297,25.9
98,298,25.6
99,299,26.2
100,300,26.6
101,301,27.2
102,302,26.1
103,303,26.2
104,304,26.7
105,305,26.7
106,306,27.1
107,307,27.2
108,308,27.3
109,309,28.1
110,310,28.0
111,311,27.4
112,312,27.0
113,313,27.7
114,314,26.9
115,315,26.5
116,316,27.0
117,317,27.3
118,318,27.7
119,319,27.7
120,320,27.7
121,321,28.3
122,322,27.7
123,323,28.1
124,324,28.2
125,325,28.9
126,326,29.4
127,327,29.4
128,328,29.3
129,329,29.2
130,330,29.1
131,331,29.8
132,332,29.9
133,333,29.4
134,334,29.3
135,335,30.0
136,336,30.7
137,337,30.6
138,338,30.6
139,339,32.3
140,340,32.2
141,341,32.1
142,342,31.5
143,343,32.6
144,344,32.3
145,345,32.3
146,346,32.4
147,347,32.7
148,348,32.5
149,349,33.7
150,350,34.9
151,351,35.5
152,352,35.8
153,353,36.4
154,354,36.0
155,355,35.7
156,356,35.5
157,357,35.2
158,358,35.3
159,359,34.7
160,360,34.6
161,361,33.6
162,362,33.0
163,363,32.9
164,364,30.1
165,365,24.2
166,366,21.0
167,367,17.8
168,368,14.7
169,369,11.7
170,370,15.0
171,371,17.3
172,372,18.7
173,373,19.6
174,374,18.6
175,375,18.5
176,376,17.4
177,377,16.5
178,378,17.4
179,379,20.0
180,380,21.3
181,381,22.9
182,382,24.6
183,383,26.7
184,384,28.2
185,385,29.6
186,386,29.7
187,387,29.8
188,388,28.8
189,389,29.2
190,390,28.4
191,391,27.5
192,392,26.1
193,393,25.5
194,394,25.4
195,395,24.9
196,396,24.5
197,397,25.0
198,398,25.7
199,399,26.7
200,400,27.7
201,401,27.0
202,402,28.1
203,403,29.7
204,404,32.0
205,405,33.4
206,406,33.8
207,407,33.9
208,408,34.5
209,409,33.5
210,410,33.2
211,411,31.9
212,412,31.9
213,413,31.8
214,414,31.7
215,415,32.3
216,416,29.0
217,417,27.6
218,418,24.9
219,419,26.6
220,420,28.9
221,421,28.9
222,422,30.1
223,423,27.5
224,424,30.8
225,425,35.0
226,426,37.2
227,427,37.8
228,428,39.3
229,429,42.8
230,430,46.4
231,431,49.4
232,432,51.3
233,433,51.8
234,434,50.1
235,435,49.8
236,436,48.6
237,437,49.1
238,438,49.1
239,439,47.7
240,440,47.6
241,441,45.3
242,442,41.6
243,443,37.7
244,444,32.0
245,445,28.7
246,446,29.5
247,447,28.5
248,448,27.3
249,449,25.9
250,450,27.0
251,451,26.7
252,452,24.9
253,453,23.3
254,454,20.7
255,455,17.9
256,456,14.5
