,时间,GPS车速
0,1769,6.0
1,1770,16.1
2,1771,26.2
3,1772,29.8
4,1773,32.8
5,1774,34.7
6,1775,36.7
7,1776,39.0
8,1777,41.6
9,1778,44.6
10,1779,45.9
11,1780,47.4
12,1788,45.4
13,1789,45.5
14,1790,44.9
15,1791,45.3
16,1792,44.4
17,1793,45.7
18,1794,46.2
19,1795,45.9
20,1796,45.8
21,1797,45.8
22,1798,45.9
23,1799,45.5
24,1800,45.5
25,1801,45.6
26,1802,44.9
27,1803,45.5
28,1804,46.3
29,1805,46.2
30,1806,46.8
31,1807,46.3
32,1808,46.3
33,1809,46.2
34,1810,45.7
35,1811,45.7
36,1812,45.5
37,1813,45.2
38,1814,45.2
39,1815,44.7
40,1816,44.3
41,1817,44.4
42,1818,44.2
43,1819,43.6
44,1820,43.6
45,1821,44.0
46,1822,44.5
47,1823,44.4
48,1824,44.1
49,1825,44.0
50,1826,43.9
51,1827,43.6
52,1828,44.1
53,1829,44.1
54,1830,43.7
55,1831,43.8
56,1832,42.9
57,1833,41.2
58,1834,40.0
59,1835,38.3
60,1836,35.9
61,1837,32.9
62,1838,32.7
63,1839,33.7
64,1840,35.3
65,1841,38.1
66,1842,39.6
67,1843,42.0
68,1844,43.0
69,1845,44.0
70,1846,45.1
71,1847,46.1
72,1848,46.1
73,1849,46.8
74,1850,47.8
75,1851,48.9
76,1852,49.5
77,1853,50.3
78,1854,50.3
79,1855,49.5
80,1856,48.2
81,1857,46.4
82,1858,44.0
83,1859,39.9
84,1860,36.9
85,1861,32.2
86,1862,29.2
87,1863,26.8
88,1864,25.4
89,1865,22.6
90,1866,22.1
91,1867,22.0
92,1868,23.6
93,1869,25.4
94,1870,27.2
95,1871,28.6
96,1872,29.6
97,1873,30.8
98,1874,31.7
99,1875,33.0
100,1876,33.6
101,1877,35.3
102,1878,36.4
103,1879,38.4
104,1880,38.5
105,1881,37.5
106,1882,36.8
107,1883,37.6
108,1884,36.4
109,1885,34.0
110,1886,33.0
111,1887,30.9
112,1888,29.6
113,1889,28.4
114,1890,26.6
115,1891,24.7
116,1892,24.1
117,1893,26.2
118,1894,25.7
119,1895,24.8
120,1896,24.8
121,1897,26.2
122,1898,26.6
123,1899,26.6
124,1900,27.7
125,1901,27.7
126,1902,27.8
127,1903,28.5
128,1904,27.6
129,1905,26.9
130,1906,27.0
131,1907,27.4
132,1908,27.4
133,1909,27.5
134,1910,27.9
135,1911,27.3
136,1912,27.9
137,1913,29.1
138,1914,28.1
139,1915,27.2
140,1916,27.3
141,1917,26.4
142,1918,26.8
143,1919,26.7
144,1920,26.6
145,1921,26.0
146,1922,25.9
147,1923,25.5
148,1924,25.4
149,1925,24.6
150,1926,24.6
151,1927,23.6
152,1928,23.2
153,1929,23.1
154,1930,23.0
155,1931,22.0
156,1932,22.0
157,1933,21.8
158,1934,23.0
159,1935,23.5
160,1936,23.6
161,1937,25.7
162,1938,26.5
163,1939,25.9
164,1940,25.9
165,1941,26.6
166,1942,25.9
167,1943,25.9
168,1944,26.0
169,1945,26.0
170,1946,25.1
171,1947,25.5
172,1948,24.2
173,1949,22.8
174,1950,19.0
175,1951,16.2
176,1952,13.0
177,1953,10.2
