时间,GPS车速
516209,8.9
516210,8.6
516211,8.5
516212,7.7
516213,5.2
516214,0.1
516215,0.0
516216,0.0
516217,0.3
516218,0.3
516224,25.7
516230,14.3
516232,11.7
516366,36.3
516367,33.5
516368,35.0
516369,40.5
516370,36.0
516371,37.5
516372,36.6
516373,36.6
516374,36.7
516375,37.2
516376,37.2
516377,37.2
516378,37.6
516379,38.0
516380,38.4
516382,39.0
516383,39.1
516384,40.2
516385,38.4
516386,40.7
516387,41.7
516388,42.7
516389,40.2
516390,44.4
516391,44.5
516392,45.7
516393,47.2
516394,47.9
516395,48.0
516396,48.5
516397,48.6
516398,49.0
516399,49.3
516400,49.3
516401,49.4
516402,49.5
516403,49.5
516404,50.7
516405,48.3
516406,46.5
516407,41.4
516408,39.7
516409,35.2
516410,33.2
516411,28.9
516412,29.0
516413,30.0
516414,30.0
516415,29.9
516416,30.7
516417,31.2
516418,34.5
516419,35.5
516420,36.8
516421,37.8
516422,38.2
516423,37.4
516424,37.5
516425,37.4
516426,37.3
516427,37.3
516428,37.4
516429,29.7
516430,27.7
516431,17.1
516432,16.0
516433,12.9
516434,10.0
