,时间,GPS车速
0,249717,9.5
1,249718,4.3
2,249719,0.0
3,249720,0.0
4,249721,0.0
5,249722,0.0
6,249723,0.0
7,249724,0.0
8,249725,0.0
9,249726,0.0
10,249727,0.0
11,249728,0.0
12,249729,0.0
13,249730,0.0
14,249731,0.0
15,249732,0.0
16,249733,0.0
17,249734,0.0
18,249735,0.0
19,249736,0.0
20,249737,0.0
21,249738,0.0
22,249739,0.0
23,249740,0.0
24,249741,0.0
25,249742,4.5
26,249743,4.8
27,249744,11.4
28,249745,12.6
29,249746,13.4
30,249747,15.2
31,249748,17.0
32,249749,18.6
33,249750,18.2
34,249751,20.1
35,249752,20.7
36,249753,21.5
37,249754,21.8
38,249819,16.0
39,249820,17.7
40,249821,19.5
41,249822,20.6
42,249823,19.6
43,249824,20.1
44,249825,17.0
45,249826,14.4
46,249827,14.3
47,249828,14.2
48,249829,12.9
49,249830,11.7
