时间,GPS车速
253476,0.0
253477,0.0
253478,0.0
253479,0.0
253480,0.0
253481,0.0
253482,0.0
253483,0.0
253484,0.0
253485,0.0
253486,0.0
253487,0.0
253488,0.0
253489,0.0
253490,0.0
253491,0.0
253492,0.0
253493,0.0
253494,0.0
253495,0.0
253496,0.0
253497,0.0
253498,0.0
253499,0.0
253500,0.0
253501,0.0
253502,0.0
253503,0.0
253504,0.0
253505,0.0
253506,0.0
253507,0.0
253508,0.0
253509,4.9
253510,5.1
253511,4.6
253512,5.7
253513,8.8
253514,10.9
253515,9.2
253516,16.3
253517,20.5
253518,22.5
253519,25.0
253520,27.0
253521,28.8
253522,30.3
253523,32.2
253524,33.6
253525,34.2
253526,35.0
253527,36.4
253528,37.4
253529,38.0
253530,38.1
253531,38.2
253532,38.8
253533,39.5
253534,40.3
253535,40.4
253536,40.8
253537,41.2
253538,42.0
253539,41.4
253540,40.9
253541,41.0
253542,41.0
253543,41.1
253544,39.5
253545,37.4
253546,37.0
253547,38.5
253548,38.9
253549,39.0
253550,40.1
253551,39.6
253552,38.8
253553,34.4
253554,29.4
253555,26.1
253556,23.7
253557,22.2
253558,19.6
253559,15.0
253560,10.0
253561,5.9
253562,0.3
253563,0.0
