,时间,GPS车速
0,7610,8.3
1,7611,8.2
2,7612,9.3
3,7613,10.9
4,7614,12.9
5,7615,14.9
6,7616,16.3
7,7617,14.9
8,7618,14.1
9,7619,16.1
10,7620,18.1
11,7621,16.6
12,7622,15.8
13,7623,16.6
14,7624,17.7
15,7625,19.6
16,7626,20.2
17,7627,22.0
18,7628,23.6
19,7629,23.5
20,7630,24.5
21,7631,25.7
22,7632,28.0
23,7633,29.5
24,7634,30.5
25,7635,30.9
26,7636,31.3
27,7637,31.6
28,7638,33.0
29,7639,34.3
30,7640,35.5
31,7641,36.8
32,7642,37.1
33,7643,37.0
34,7644,37.0
35,7645,37.4
36,7646,37.8
37,7647,38.2
38,7648,38.3
39,7649,38.5
40,7650,38.6
41,7651,39.1
42,7652,39.5
43,7653,39.9
44,7654,40.2
45,7655,40.1
46,7656,39.5
47,7657,38.8
48,7658,37.2
49,7659,34.4
50,7660,31.5
51,7661,28.4
52,7662,24.6
53,7663,20.8
54,7664,18.7
55,7665,17.1
56,7666,14.7
57,7667,11.4
