时间,GPS车速
464601,0.0
464602,0.0
464603,0.0
464604,0.0
464605,0.0
464606,0.0
464607,0.0
464608,0.0
464609,0.0
464610,0.0
464611,0.0
464612,0.0
464613,0.0
464614,0.0
464615,0.0
464616,0.0
464617,0.0
464618,0.0
464619,0.0
464620,0.0
464621,0.0
464622,0.0
464623,0.0
464624,0.0
464625,0.0
464626,0.0
464627,0.0
464628,0.0
464629,0.0
464630,0.0
464631,6.9
464632,8.5
464633,11.8
464634,14.6
464635,16.7
464636,18.4
464637,19.2
464638,21.0
464639,23.1
464640,24.9
464641,26.6
464642,28.4
464643,30.1
464644,31.5
464645,32.0
464646,33.5
464647,35.4
464648,37.0
464649,38.7
464650,40.2
464651,40.8
464652,40.9
464653,42.0
464654,43.4
464655,44.7
464656,46.2
464657,47.6
464658,48.8
464659,50.3
464660,51.6
464661,52.1
464662,52.2
464663,52.8
464664,53.2
464665,54.7
464666,54.7
464667,54.6
464668,55.0
464669,55.4
464670,55.8
464671,56.2
464672,56.4
464673,56.4
464674,56.0
464675,56.1
464676,56.2
464677,56.7
464678,56.4
464679,55.4
464680,55.3
464681,55.3
464682,55.1
464683,54.0
464684,51.6
464685,47.4
464686,45.0
464687,44.1
464688,43.8
464689,43.9
464690,44.5
464691,44.9
464692,44.9
464693,44.4
464694,43.6
464695,42.8
464696,41.9
464697,41.0
464698,39.9
464699,37.6
464700,34.7
464704,31.3
464705,30.8
464706,30.7
464707,28.8
464708,28.9
464709,31.2
464710,33.4
464711,35.5
464712,37.0
464713,37.4
464714,38.8
464715,40.4
464716,41.3
464717,41.7
464718,41.5
464719,40.9
464720,40.2
464721,40.2
464722,40.4
464723,42.0
464724,42.1
464725,41.3
464726,41.4
464727,40.1
464728,39.1
464729,39.0
464730,38.6
464731,38.7
464732,39.3
464733,40.3
464734,40.7
464735,41.3
464736,42.9
464737,43.7
464738,45.1
464739,45.9
464740,45.9
464741,46.3
464742,46.4
464743,45.6
464744,45.7
464745,44.4
464746,41.1
464769,0.0
