,时间,GPS车速
0,264741,9.0
1,264742,7.5
2,264743,5.8
3,264744,9.0
4,264745,11.7
5,264746,12.9
6,264747,13.4
7,264748,13.1
8,264749,13.1
9,264750,14.2
10,264751,14.2
11,264752,14.9
12,264753,14.9
13,264754,15.4
14,264755,16.5
15,264756,16.3
16,264757,15.5
17,264758,16.0
18,264759,16.1
19,264760,16.1
20,264761,14.8
21,264762,14.7
22,264763,12.8
23,264764,12.3
24,264765,12.2
25,264766,12.1
26,264767,12.1
27,264768,13.0
28,264769,14.3
29,264770,14.9
30,264771,15.2
31,264772,14.4
32,264773,13.1
33,264774,13.0
34,264775,13.1
35,264776,13.1
36,264777,13.2
37,264778,14.4
38,264779,15.2
39,264780,15.1
40,264781,15.7
41,264782,15.0
42,264783,15.9
43,264784,15.5
44,264785,13.8
45,264786,12.6
46,264787,11.3
47,264788,10.3
