,时间,GPS车速
0,177791,8.2
1,177792,6.2
2,177793,6.7
3,177794,9.0
4,177795,13.0
5,177796,15.4
6,177797,16.2
7,177798,15.1
8,177799,17.9
9,177800,20.0
10,177801,19.9
11,177802,19.3
12,177803,19.3
13,177804,21.0
14,177805,23.0
15,177806,23.9
16,177807,25.7
17,177808,27.0
18,177809,26.0
19,177810,23.9
20,177811,20.9
21,177812,18.7
22,177813,16.0
23,177814,14.7
24,177815,15.2
25,177816,14.3
26,177817,13.9
27,177818,13.8
28,177819,14.3
29,177820,14.2
30,177821,14.2
31,177822,15.3
32,177823,16.5
33,177824,18.3
34,177825,19.7
35,177826,20.1
36,177827,20.1
37,177828,20.2
38,177829,21.6
39,177830,20.9
40,177831,19.8
41,177832,18.1
42,177833,17.6
43,177834,14.1
44,177835,12.0
45,177836,10.9
