时间,GPS车速
166491,4.5
166492,0.0
166493,0.0
166494,0.0
166495,0.0
166496,0.0
166497,0.0
166498,0.0
166499,0.0
166500,0.0
166501,0.0
166502,0.0
166503,0.0
166504,0.0
166505,0.0
166506,0.0
166507,0.0
166508,0.0
166509,0.0
166510,0.0
166511,0.0
166512,0.0
166513,0.0
166514,0.0
166515,0.0
166516,0.0
166517,0.0
166518,0.0
166519,0.0
166520,0.0
166521,0.0
166522,0.0
166523,0.0
166524,0.0
166525,0.0
166526,0.0
166527,0.0
166528,0.0
166529,0.0
166530,0.0
166531,0.0
166532,0.0
166533,0.0
166534,0.0
166535,0.0
166536,0.0
166537,0.0
166538,0.0
166539,0.0
166540,0.0
166541,0.0
166542,0.0
166543,0.0
166544,0.0
166545,0.0
166546,0.0
166547,0.0
166548,0.0
166549,0.0
166550,0.0
166551,0.0
166552,0.0
166553,0.0
166554,0.0
166555,0.0
166556,0.0
166557,0.0
166558,0.0
166559,0.0
166560,0.0
166561,0.0
166562,0.0
166563,0.0
166564,0.0
166565,0.0
166566,0.0
166567,0.0
166568,0.0
166569,0.0
166570,0.0
166571,0.0
166572,0.0
166573,0.0
166574,0.0
166575,0.0
166576,0.0
166577,0.0
166578,0.0
166579,0.0
166580,0.0
166581,0.0
166582,0.0
166583,0.0
166584,0.0
166585,0.0
166586,0.0
166587,0.0
166588,0.0
166589,0.0
166590,6.8
166591,11.8
166592,16.4
166593,19.0
166594,21.4
166595,25.5
166596,26.7
166597,28.1
166598,30.2
166599,32.3
166600,34.2
166601,35.2
166602,35.8
166603,36.2
166604,37.0
166605,39.3
166606,41.6
166607,43.2
166608,45.0
166609,44.7
166610,43.9
166611,44.3
166612,45.7
166613,45.8
166665,45.8
166666,41.2
166667,36.7
166668,31.3
166669,25.7
166670,21.0
166671,15.9
166672,15.1
166673,16.1
166674,18.1
166675,19.5
166676,19.0
166677,19.2
166678,20.7
166679,23.9
166680,26.0
166681,27.4
166682,29.5
166683,32.1
166684,35.2
166685,35.6
166686,34.4
166687,36.0
166688,37.5
166689,39.0
166690,40.5
166691,42.2
166692,43.3
166693,43.3
166694,43.7
166695,44.1
166696,43.4
166697,43.3
166698,43.2
166699,43.4
166700,44.6
166701,43.5
166702,43.4
166703,44.2
166704,45.0
166705,45.4
166706,45.4
166707,45.3
166708,44.0
166709,43.8
166710,43.9
166711,44.0
166712,43.1
166713,40.9
166714,33.7
166715,16.9
