,时间,GPS车速
0,10088,0.1
1,10089,0.0
2,10090,0.0
3,10091,0.0
4,10092,0.6
5,10093,12.0
6,10094,15.2
7,10095,18.2
8,10096,19.9
9,10097,21.8
10,10098,23.7
11,10099,26.3
12,10100,28.6
13,10101,30.1
14,10102,31.8
15,10103,32.8
16,10104,34.2
17,10105,35.7
18,10106,36.9
19,10107,37.0
20,10108,37.7
21,10109,38.8
22,10110,39.8
23,10111,40.7
24,10112,41.6
25,10113,42.6
26,10114,43.5
27,10115,44.3
28,10116,45.2
29,10117,46.0
30,10118,46.9
31,10119,47.4
32,10120,47.8
33,10121,47.4
34,10122,47.5
35,10123,47.4
36,10124,46.6
37,10125,45.7
38,10126,41.8
39,10127,36.6
40,10128,32.0
41,10129,27.4
42,10130,23.7
43,10131,20.0
44,10132,16.3
45,10133,12.3
