时间,GPS车速
500984,8.2
500985,5.3
500986,4.7
500987,3.3
500988,0.1
500989,0.1
500990,0.2
500991,0.2
500992,0.2
500993,0.1
500994,0.1
500995,0.0
500996,0.0
500997,0.0
500998,0.0
500999,0.0
501000,0.0
501001,0.0
501002,0.0
501003,0.0
501004,0.0
501005,0.0
501006,0.0
501007,0.0
501008,0.0
501009,0.0
501010,0.0
501011,0.0
501012,0.0
501013,0.0
501014,0.0
501015,6.4
501016,11.4
501017,17.5
501018,20.3
501019,22.2
501020,23.6
501021,25.2
501022,26.6
501023,28.0
501024,29.1
501025,31.2
501026,33.7
501027,35.1
501028,35.4
501029,38.1
501030,39.5
501031,40.2
501032,39.7
501033,39.3
501034,40.1
501035,41.1
501036,41.2
501037,41.1
501038,41.1
501039,40.7
501040,41.7
501041,40.9
501042,42.4
501043,42.5
501044,43.2
501045,44.1
501046,44.1
501047,45.6
501048,45.1
501049,44.4
501050,44.8
501051,44.4
501052,44.1
501053,43.5
501054,43.1
501055,41.5
501056,40.8
501057,40.1
501058,40.0
501059,40.1
501060,41.4
501061,40.5
501062,41.1
501063,41.0
501064,40.9
501065,40.9
501066,40.2
501067,36.6
501068,30.3
501069,26.1
501070,24.1
501071,22.3
501072,22.2
501073,18.7
501074,17.3
501075,16.0
501076,13.7
501077,10.3
