时间,GPS车速
477306,0.0
477307,0.0
477308,0.0
477309,0.0
477310,0.0
477311,0.0
477312,0.0
477313,0.0
477314,0.0
477315,0.0
477316,0.0
477317,0.0
477318,0.0
477319,4.7
477320,6.8
477321,12.7
477322,16.1
477323,18.1
477324,20.7
477325,23.0
477326,24.9
477327,26.7
477328,27.4
477329,28.0
477330,28.8
477331,30.5
477332,31.0
477333,30.6
477334,30.6
477335,29.9
477336,30.0
477337,30.5
477338,32.1
477339,33.9
477340,34.4
477341,35.2
477342,35.2
477343,35.8
477344,37.0
477345,37.6
477346,38.2
477347,38.1
477348,39.3
477349,41.1
477350,40.8
477351,40.0
477352,39.9
477353,40.0
477354,37.3
477355,34.2
477356,31.0
477357,29.7
477358,29.8
477359,30.4
477422,43.6
477423,43.5
477424,43.4
477425,44.1
477426,45.2
477427,46.0
477428,47.2
477429,47.7
477430,48.5
477431,48.9
477432,50.3
477433,50.8
477434,51.2
477435,52.0
477436,52.0
477437,52.3
477438,49.3
477439,47.9
477440,46.3
477441,45.4
477442,43.8
477443,42.8
477444,42.8
477445,43.6
477446,45.0
477447,45.3
477448,43.2
477449,41.3
477450,38.5
477451,34.9
477452,31.7
477453,30.0
477454,31.5
477455,31.4
477456,29.9
477457,30.2
477458,32.4
477459,34.9
477460,37.3
477461,37.3
477462,37.9
477463,38.2
477464,39.6
477465,41.2
477466,41.8
477467,43.3
477468,46.0
477469,47.9
477470,49.2
477471,50.8
477472,51.8
477473,53.2
477474,54.1
477475,55.0
477476,55.8
477477,55.8
477478,55.3
477479,55.0
477480,53.1
477481,52.5
477482,52.0
477483,50.5
477484,47.9
477485,46.4
477486,43.6
477487,41.2
477488,38.3
477489,35.9
477490,33.9
477491,32.2
477492,32.2
477493,32.7
477494,34.4
477495,37.3
477496,39.0
477497,40.0
477498,40.3
477499,42.7
477500,45.2
477501,46.6
477502,48.2
477503,48.6
477504,49.4
477505,50.5
477506,52.2
477507,52.7
477508,52.7
477509,51.8
477510,51.2
477511,50.5
477512,50.1
477513,50.3
477514,50.6
477515,50.2
477516,50.3
477517,50.4
477518,50.6
477519,50.8
477520,51.0
477521,54.7
477522,54.8
477523,55.3
477524,55.7
477525,57.6
477526,58.5
477527,59.5
477528,60.5
477529,61.3
477530,61.3
477531,60.9
477532,61.6
477533,61.5
477534,61.3
477535,57.5
477536,56.7
477537,55.6
477538,55.3
477539,54.1
477540,54.1
477541,52.8
477542,52.4
477543,51.4
477544,51.4
477545,50.1
477546,50.2
477547,49.9
477548,47.9
477549,47.5
477550,46.9
477551,46.5
477552,46.5
477553,46.2
477554,45.7
477555,45.4
477556,44.9
477557,44.3
477558,43.4
477559,42.3
477560,41.8
477561,41.5
477562,41.5
477563,41.4
477564,41.6
477565,41.7
477566,40.6
477567,40.0
477568,37.8
477569,35.3
477570,33.6
477571,32.3
477572,29.9
477573,30.7
477574,30.9
477575,32.1
477576,34.1
477577,34.2
477578,36.2
477579,37.3
477580,36.5
477581,36.6
477582,37.5
477583,37.5
477584,37.4
477585,36.8
477586,35.8
477587,35.7
477588,35.0
477589,35.9
477590,35.5
477591,35.6
477592,36.5
477593,37.0
477594,36.7
477595,37.5
477596,38.4
477597,38.3
477598,38.3
477599,37.7
477600,37.8
477601,38.3
477602,38.7
477603,39.6
477604,40.5
477605,41.1
477606,41.4
477607,42.6
477608,43.5
477609,44.5
477610,45.1
477611,45.2
477612,45.1
477613,44.5
477614,43.8
477615,42.7
477616,42.6
477617,42.5
477618,41.6
477619,41.7
477620,41.6
477621,39.7
477622,37.0
477623,34.0
477624,31.0
477625,28.7
477626,26.5
477627,25.4
477628,24.2
477629,21.3
477630,16.5
477631,13.5
477632,9.9
477633,8.7
477634,6.0
477635,3.7
477636,3.0
477637,3.6
477638,4.2
477639,5.8
477640,6.6
477641,6.1
477642,6.5
477643,7.4
477644,10.5
477645,13.6
477646,16.4
477647,19.1
477648,22.5
477649,22.9
477650,23.2
477651,23.6
477652,24.6
477653,26.3
477654,28.7
477655,30.1
477656,32.2
477657,32.7
477658,33.8
477659,34.7
477660,35.4
477661,37.4
477662,37.5
477663,37.2
477664,36.6
477665,35.7
477666,35.2
477667,35.2
477668,35.2
477669,35.1
477670,35.0
477671,33.4
477672,31.3
477673,28.1
477674,24.8
477675,21.8
477676,19.3
477677,19.9
477678,18.5
477679,17.5
477680,17.6
477681,20.9
477682,23.6
477683,24.6
477684,25.2
477685,27.0
477686,28.1
477687,28.7
477688,31.5
477689,33.0
477690,33.4
477691,33.4
477692,35.3
477693,36.5
477694,36.5
477695,36.3
477696,37.3
477697,36.8
477698,36.0
477699,35.4
477700,33.9
477701,32.6
477702,30.6
477703,30.7
477704,31.1
477705,31.4
477706,29.6
477707,26.8
477708,22.3
477709,19.1
477710,15.2
477711,8.9
477712,3.6
477713,0.0
