,时间,GPS车速
0,476656,7.5
1,476657,7.5
2,476658,10.3
3,476659,13.7
4,476660,16.4
5,476661,18.4
6,476662,20.9
7,476663,22.3
8,476664,24.4
9,476665,24.5
10,476666,26.7
11,476667,27.8
12,476668,29.2
13,476669,30.5
14,476670,31.0
15,476671,34.1
16,476672,34.5
17,476673,35.7
18,476674,35.8
19,476675,36.6
20,476676,36.8
21,476677,37.4
22,476678,37.3
23,476679,37.4
24,476680,36.2
25,476681,34.5
26,476682,34.6
27,476683,33.9
28,476684,33.1
29,476685,32.7
30,476686,33.6
31,476687,35.2
32,476688,36.6
33,476689,37.5
34,476690,37.4
35,476691,37.5
36,476692,37.0
37,476744,43.0
38,476745,43.0
39,476746,41.9
40,476747,42.3
41,476748,42.9
42,476749,44.3
43,476750,44.8
44,476751,44.5
45,476752,45.4
46,476753,45.3
47,476754,44.1
48,476755,43.2
49,476756,43.2
50,476757,42.3
51,476758,42.6
52,476759,42.7
53,476760,42.6
54,476761,43.9
55,476762,43.8
56,476763,43.0
57,476764,43.1
58,476765,43.7
59,476766,43.4
60,476767,43.5
61,476768,43.6
62,476769,41.7
63,476770,40.5
64,476771,40.4
65,476772,38.3
66,476773,35.5
67,476774,31.9
68,476775,28.0
69,476776,25.1
70,476777,23.4
71,476778,21.2
72,476779,21.8
73,476780,20.4
74,476781,20.3
75,476782,19.4
76,476783,19.3
77,476784,19.0
78,476785,18.5
79,476786,17.2
80,476787,15.5
81,476788,14.7
82,476789,13.7
83,476790,13.6
84,476791,12.9
85,476792,10.2
