时间,GPS车速
409995,9.0
409996,9.7
409997,9.8
409998,11.8
409999,14.4
410000,17.8
410001,19.5
410002,20.5
410003,21.7
410004,23.5
410005,23.4
410006,23.7
410007,23.3
410008,23.6
410009,24.3
410010,24.7
410011,25.7
410012,26.4
410013,26.5
410014,26.5
410015,26.9
410016,27.2
410017,27.3
410018,27.3
410019,28.0
410020,29.0
410021,31.1
410022,31.9
410023,32.7
410024,33.9
410025,33.9
410026,33.9
410027,33.4
410028,33.5
410029,32.4
410030,33.3
410031,34.0
410032,33.9
410033,36.1
410034,37.0
410035,37.8
410036,37.1
410037,37.5
410038,39.0
410039,38.2
410040,39.3
410041,40.6
410042,40.0
410043,41.7
410044,42.9
410045,43.6
410046,43.2
410047,43.7
410048,43.6
410049,44.0
410050,45.5
410051,45.5
410052,45.6
410053,45.2
410054,45.3
410055,46.3
410056,46.3
410057,45.5
410058,45.4
410059,41.0
410060,38.5
410061,36.4
410062,35.9
410063,35.1
410064,34.5
410065,33.2
410066,34.1
410067,30.7
410068,28.8
410069,28.7
410070,28.6
410071,29.4
410072,29.5
410073,30.5
410074,30.9
410075,30.6
410076,30.0
410077,28.3
410078,26.5
410079,25.6
410080,25.6
410081,20.0
410082,13.9
410083,12.2
410084,11.3
